2018-06-27 20:31:59.292 - INFO	| LWJGL version: 3.1.6 build 14!
2018-06-27 20:32:00.752 - INFO	| LED_magnetN_#FF0000	Adding UI binding:UIEventBus::updateLabel to element "label"
2018-06-27 20:32:00.752 - INFO	| LED_magnetE_#FF0000	Adding UI binding:UIEventBus::updateLabel to element "label"
2018-06-27 20:32:00.752 - INFO	| LED_magnetT_#FF0000	Adding UI binding:UIEventBus::updateLabel to element "label"
2018-06-27 20:32:00.752 - INFO	| LED_warpRightArrow_#FFFFFF	Adding UI binding:UIEventBus::updateLabel to element "label"
2018-06-27 20:32:00.752 - INFO	| LED_warpRight5_#FFFF00	Adding UI binding:UIEventBus::updateLabel to element "label"
2018-06-27 20:32:00.752 - INFO	| LED_warpRight4_#FFFF00	Adding UI binding:UIEventBus::updateLabel to element "label"
2018-06-27 20:32:00.752 - INFO	| LED_warpRight3_#FFFF00	Adding UI binding:UIEventBus::updateLabel to element "label"
2018-06-27 20:32:00.752 - INFO	| LED_warpRight2_#FFFF00	Adding UI binding:UIEventBus::updateLabel to element "label"
2018-06-27 20:32:00.768 - INFO	| LED_warpRight1_#FFFF00	Adding UI binding:UIEventBus::updateLabel to element "label"
2018-06-27 20:32:00.768 - INFO	| LED_quickArrow_#FFFFFF	Adding UI binding:UIEventBus::updateLabel to element "label"
2018-06-27 20:32:00.768 - INFO	| LED_bonusLeft_#00FF00	Adding UI binding:UIEventBus::updateLabel to element "label"
2018-06-27 20:32:00.768 - INFO	| LED_bonusRight_#00FF00	Adding UI binding:UIEventBus::updateLabel to element "label"
